Code System,Model abuse,Gaps and inaccuracy,Management scales do not align with system needs,Need for multispecies management,Climate change adding uncertainty to target species habitat use,Implementation costs,Indirect socioeconomic consequences,Discontinuity,Poor communication and outreach,Poor program implementation
Data Bridge > Management scale aligns with system needs,0,10,5,3,3,5,3,6,1,8
Data Bridge > Target species data availability,1,17,7,5,3,9,3,4,2,16
Data Bridge > Access to advanced technology and techniques,1,16,5,2,4,7,4,4,3,9
Data Bridge > Data transparency,1,11,0,1,1,4,2,1,1,7
Data Bridge > Resource use data availability,0,11,2,3,1,3,2,3,2,9
Data Bridge > Environmental data availability,0,7,3,1,4,5,1,2,0,5
Social Bridge > Resource availability,0,1,1,1,0,2,0,0,0,3
Social Bridge > Pre-existing conditions,2,8,3,4,3,9,2,4,4,19
Social Bridge > Adoption incentives,1,11,3,5,4,5,2,2,1,13
Social Bridge > Feasibility,0,10,5,4,4,3,5,4,1,12
Social Bridge > Co-management and communication,2,13,5,7,5,10,4,4,4,20
Ecological Bridge > Biotic indicators of target species presence,0,0,0,1,0,0,0,0,0,3
Ecological Bridge > Abiotic indicators of target species presence,2,10,2,3,0,2,2,0,2,12
Ecological Bridge > Expected climate change induced range shifts,2,9,2,4,3,6,2,3,1,8
Ecological Bridge > Distinct habitat preferences,0,2,1,2,0,2,1,0,0,3
Ecological Bridge > Highly mobile target species,1,11,3,2,3,6,2,2,1,10
Ecological Bridge > Life history information available for target species,0,8,4,2,0,2,1,3,2,9
Ecological Bridge > Fine-scale management appropriate for target species,0,6,1,1,2,2,2,2,1,6
