Data Bridge,Social Bridges,Species Bridges,Documents
Availability for species,Open Communication or Co-Mngmt in place,Known Species Nat History,14
Availability for species,Open Communication or Co-Mngmt in place,Abiotic indicators of target species presence,9
Availability for species,Adoption Interests & Incentives,Known Species Nat History,8
Enviro Access,Open Communication or Co-Mngmt in place,Abiotic indicators of target species presence,7
Enviro Access,Open Communication or Co-Mngmt in place,Known Species Nat History,6
Availability for species,DOM implementation feasible (Socio-econ),Known Species Nat History,6
Availability for species,Adoption Interests & Incentives,Abiotic indicators of target species presence,6
Availability for species,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,6
Availability for species,Open Communication or Co-Mngmt in place,Distinct Habitat between target and non-target species,5
Scale appropriate for system,Open Communication or Co-Mngmt in place,Known Species Nat History,5
Enviro Access,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,5
Availability for species,DOM implementation feasible (Socio-econ),Abiotic indicators of target species presence,5
Advances in Tech,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,5
Stakeholder/Anthropogenic Data Access,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,4
Stakeholder/Anthropogenic Data Access,Pre-existing regulation & management institutions,Known Species Nat History,4
Availability for species,Adoption Interests & Incentives,Migratory and/or dynamic range,4
Advances in Tech,Open Communication or Co-Mngmt in place,Climate change,4
Enviro Access,Adoption Interests & Incentives,Abiotic indicators of target species presence,4
Availability for species,Pre-existing regulation & management institutions,Known Species Nat History,4
Availability for species,DOM implementation feasible (Socio-econ),Migratory and/or dynamic range,4
Advances in Tech,Open Communication or Co-Mngmt in place,Known Species Nat History,4
Availability for species,Pre-existing regulation & management institutions,Migratory and/or dynamic range,4
Availability for species,Open Communication or Co-Mngmt in place,Climate change,4
Stakeholder/Anthropogenic Data Access,Open Communication or Co-Mngmt in place,Known Species Nat History,4
Stakeholder/Anthropogenic Data Access,DOM implementation feasible (Socio-econ),Known Species Nat History,4
Enviro Access,Adoption Interests & Incentives,Known Species Nat History,4
Advances in Tech,Open Communication or Co-Mngmt in place,Abiotic indicators of target species presence,4
Availability for species,Adoption Interests & Incentives,Distinct Habitat between target and non-target species,4
Availability for species,Pre-existing regulation & management institutions,Climate change,3
Enviro Access,Adoption Interests & Incentives,Migratory and/or dynamic range,3
Advances in Tech,Pre-existing regulation & management institutions,Abiotic indicators of target species presence,3
Availability for species,Open Communication or Co-Mngmt in place,Biotic indicators of target species presence,3
Stakeholder/Anthropogenic Data Access,Pre-existing regulation & management institutions,Migratory and/or dynamic range,3
Enviro Access,Pre-existing regulation & management institutions,Known Species Nat History,3
Advances in Tech,Pre-existing regulation & management institutions,Climate change,3
Advances in Tech,Adoption Interests & Incentives,Migratory and/or dynamic range,3
Availability for species,Adoption Interests & Incentives,Climate change,3
Enviro Access,DOM implementation feasible (Socio-econ),Abiotic indicators of target species presence,3
Enviro Access,Pre-existing regulation & management institutions,Migratory and/or dynamic range,3
Availability for species,Pre-existing regulation & management institutions,Abiotic indicators of target species presence,3
Advances in Tech,Pre-existing regulation & management institutions,Known Species Nat History,3
Enviro Access,Pre-existing regulation & management institutions,Abiotic indicators of target species presence,3
Open-Access Public Data,Open Communication or Co-Mngmt in place,Climate change,3
Scale appropriate for system,Open Communication or Co-Mngmt in place,Climate change,2
Advances in Tech,Pre-existing regulation & management institutions,Migratory and/or dynamic range,2
Scale appropriate for system,Adoption Interests & Incentives,Known Species Nat History,2
Enviro Access,Pre-existing regulation & management institutions,Climate change,2
Open-Access Public Data,Pre-existing regulation & management institutions,Climate change,2
Stakeholder/Anthropogenic Data Access,Open Communication or Co-Mngmt in place,Abiotic indicators of target species presence,2
Enviro Access,DOM implementation feasible (Socio-econ),Known Species Nat History,2
Availability for species,Open Communication or Co-Mngmt in place,Limited Prey Resources,2
Advances in Tech,DOM implementation feasible (Socio-econ),Climate change,2
Advances in Tech,Adoption Interests & Incentives,Known Species Nat History,2
Enviro Access,Open Communication or Co-Mngmt in place,Limited Prey Resources,2
Availability for species,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,2
Availability for species,DOM implementation feasible (Socio-econ),Biotic indicators of target species presence,2
Advances in Tech,Adoption Interests & Incentives,Biotic indicators of target species presence,2
Scale appropriate for system,DOM implementation feasible (Socio-econ),Known Species Nat History,2
Stakeholder/Anthropogenic Data Access,Pre-existing regulation & management institutions,Abiotic indicators of target species presence,2
Open-Access Public Data,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,2
Scale appropriate for system,Open Communication or Co-Mngmt in place,Biotic indicators of target species presence,2
Availability for species,Pre-existing regulation & management institutions,Biotic indicators of target species presence,2
Open-Access Public Data,Open Communication or Co-Mngmt in place,Abiotic indicators of target species presence,2
Scale appropriate for system,Pre-existing regulation & management institutions,Known Species Nat History,2
Enviro Access,Pre-existing regulation & management institutions,Fine Scale management required,2
Enviro Access,Open Communication or Co-Mngmt in place,Climate change,2
Stakeholder/Anthropogenic Data Access,Adoption Interests & Incentives,Abiotic indicators of target species presence,2
Stakeholder/Anthropogenic Data Access,Adoption Interests & Incentives,Fine Scale management required,2
Advances in Tech,DOM implementation feasible (Socio-econ),Abiotic indicators of target species presence,2
Availability for species,Adoption Interests & Incentives,Limited Prey Resources,2
Availability for species,Resource Availability (economical),Known Species Nat History,2
Availability for species,Adoption Interests & Incentives,Biotic indicators of target species presence,2
Enviro Access,Adoption Interests & Incentives,Biotic indicators of target species presence,1
Availability for species,Resource Availability (economical),Distinct Habitat between target and non-target species,1
Stakeholder/Anthropogenic Data Access,DOM implementation feasible (Socio-econ),Migratory and/or dynamic range,1
Stakeholder/Anthropogenic Data Access,Open Communication or Co-Mngmt in place,Fine Scale management required,1
Stakeholder/Anthropogenic Data Access,Pre-existing regulation & management institutions,Biotic indicators of target species presence,1
Availability for species,Resource Availability (economical),Migratory and/or dynamic range,1
Availability for species,Adoption Interests & Incentives,Fine Scale management required,1
Open-Access Public Data,Adoption Interests & Incentives,Abiotic indicators of target species presence,1
Enviro Access,Adoption Interests & Incentives,Fine Scale management required,1
Scale appropriate for system,Pre-existing regulation & management institutions,Climate change,1
Availability for species,DOM implementation feasible (Socio-econ),Limited Prey Resources,1
Enviro Access,Open Communication or Co-Mngmt in place,Distinct Habitat between target and non-target species,1
Open-Access Public Data,Resource Availability (economical),Migratory and/or dynamic range,1
Enviro Access,DOM implementation feasible (Socio-econ),Distinct Habitat between target and non-target species,1
Enviro Access,Open Communication or Co-Mngmt in place,Biotic indicators of target species presence,1
Availability for species,Resource Availability (economical),Abiotic indicators of target species presence,1
Advances in Tech,Adoption Interests & Incentives,Limited Prey Resources,1
Advances in Tech,Resource Availability (economical),Known Species Nat History,1
Scale appropriate for system,Adoption Interests & Incentives,Abiotic indicators of target species presence,1
Stakeholder/Anthropogenic Data Access,Pre-existing regulation & management institutions,Fine Scale management required,1
Enviro Access,DOM implementation feasible (Socio-econ),Migratory and/or dynamic range,1
Availability for species,Pre-existing regulation & management institutions,Distinct Habitat between target and non-target species,1
Stakeholder/Anthropogenic Data Access,Adoption Interests & Incentives,Known Species Nat History,1
Enviro Access,Adoption Interests & Incentives,Climate change,1
Enviro Access,Open Communication or Co-Mngmt in place,Fine Scale management required,1
Open-Access Public Data,Adoption Interests & Incentives,Climate change,1
Availability for species,DOM implementation feasible (Socio-econ),Fine Scale management required,1
Enviro Access,Pre-existing regulation & management institutions,Biotic indicators of target species presence,1
Scale appropriate for system,Open Communication or Co-Mngmt in place,Migratory and/or dynamic range,1
Advances in Tech,Adoption Interests & Incentives,Abiotic indicators of target species presence,1
Advances in Tech,Resource Availability (economical),Migratory and/or dynamic range,1
Advances in Tech,Adoption Interests & Incentives,Fine Scale management required,1
Advances in Tech,Open Communication or Co-Mngmt in place,Distinct Habitat between target and non-target species,1
