bridge_barr,code_cat,code_name,total
Bridge,Data bridge,Scale appropriate for system,15
Bridge,Data bridge,Availability for species,65
Bridge,Data bridge,Advances in Tech,34
Bridge,Data bridge,Open-Access Public Data,9
Bridge,Data bridge,Enviro Access,37
Bridge,Data bridge,Stakeholder/Anthropogenic Data Access,19
Bridge,Social bridge,Resource Availability (economical),7
Bridge,Social bridge,Pre-existing regulation & management institutions,23
Bridge,Social bridge,Adoption Interests & Incentives,26
Bridge,Social bridge,DOM implementation feasible (Socio-econ),16
Bridge,Social bridge,Open Communication or Co-Mngmt in place,45
Bridge,Species bridge,Climate change,17
Bridge,Species bridge,Distinct Habitat between target and non-target species,10
Bridge,Species bridge,Biotic indicators of target species presence,24
Bridge,Species bridge,Abiotic indicators of target species presence,41
Bridge,Species bridge,Migratory and/or dynamic range,34
Bridge,Species bridge,Limited Prey Resources,5
Bridge,Species bridge,Known Species Nat History,39
Bridge,Species bridge,Fine Scale management required,12
Barrier,Data barrier,Cost,17
Barrier,Data barrier,Gaps and Accuracy,40
Barrier,Data barrier,Mismatch in scale,14
Barrier,Species barrier,Model Abuse,3
Barrier,Species barrier,Switch to multi-species mngmnt,10
Barrier,Species barrier,Climate change,8
Barrier,Social barrier,Unintended consequences,4
Barrier,Social barrier,Political permanence,3
Barrier,Social barrier,Communication & Distribution,3
Barrier,Social barrier,Recipient participation,34
