Code System,Management scale aligns with system needs,Target species data availability,Access to advanced technology and techniques,Data transparency and accessibility,Resource use data availability,Environmental data availability,Resource availability,Pre-existing regulation and management institutions,Adoption incentives for end users,Feasibility,Co-management and communication,Biotic indicators of target species presence,Abiotic indicators of target species presence,Expected climate change induced range shifts,Distinct habitat preferences among species in system,Highly mobile target species,Life history information available for target species,Fine-scale management appropriate for target species,Model abuse,Gaps and inaccuracy,Management scales do not align with system needs,Need for multispecies management,Climate change adding uncertainty to target species habitat use,Implementation costs,Indirect socioeconomic consequences,Lack of political administration permanence,Poor communication and outreach,Poor program implementation
Data Bridge > Management scale aligns with system needs,0,10,7,5,6,3,2,8,6,7,12,0,0,4,1,3,5,2,0,9,5,2,2,5,4,5,1,7
Data Bridge > Target species data availability,10,0,14,8,7,6,2,12,14,10,17,1,8,8,4,8,8,2,1,16,7,4,3,9,3,4,2,15
Data Bridge > Access to advanced technology and techniques,7,14,0,8,7,5,2,10,5,8,15,2,5,9,1,8,7,4,1,14,6,2,5,7,5,3,3,9
Data Bridge > Data transparency and accessibility,5,8,8,0,4,3,3,5,3,3,10,0,2,5,1,4,1,2,1,10,1,1,1,5,2,1,1,7
Data Bridge > Resource use data availability,6,7,7,4,0,2,0,8,4,6,9,0,3,1,2,3,4,4,0,8,1,3,1,2,2,1,2,8
Data Bridge > Environmental data availability,3,6,5,3,2,0,0,5,3,1,7,1,5,3,0,5,3,2,0,6,2,1,3,4,1,1,0,4
Social Bridge > Resource availability,2,2,2,3,0,0,0,2,4,1,4,1,1,1,1,2,1,0,0,1,1,1,0,2,0,0,0,3
Social Bridge > Pre-existing regulation and management institutions,8,12,10,5,8,5,2,0,8,9,15,1,7,7,1,6,7,3,2,7,2,4,2,8,2,3,4,18
Social Bridge > Adoption incentives for end users,6,14,5,3,4,3,4,8,0,6,17,2,8,3,5,6,4,4,1,10,3,4,4,5,2,1,1,12
Social Bridge > Feasibility,7,10,8,3,6,1,1,9,6,0,7,1,4,3,0,5,5,3,0,8,5,3,3,3,5,3,1,10
Social Bridge > Co-management and communication,12,17,15,10,9,7,4,15,17,7,0,1,8,11,4,8,7,6,2,12,6,6,5,10,5,3,4,19
Ecological Bridge > Biotic indicators of target species presence,0,1,2,0,0,1,1,1,2,1,1,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3
Ecological Bridge > Abiotic indicators of target species presence,0,8,5,2,3,5,1,7,8,4,8,2,0,6,2,11,4,4,2,10,2,3,1,2,2,0,2,12
Ecological Bridge > Expected climate change induced range shifts,4,8,9,5,1,3,1,7,3,3,11,1,6,0,1,5,3,2,2,6,2,4,3,5,2,2,1,8
Ecological Bridge > Distinct habitat preferences among species in system,1,4,1,1,2,0,1,1,5,0,4,1,2,1,0,1,2,0,0,2,1,2,1,2,1,0,0,3
Ecological Bridge > Highly mobile target species,3,8,8,4,3,5,2,6,6,5,8,1,11,5,1,0,3,5,1,11,3,2,3,6,2,2,1,10
Ecological Bridge > Life history information available for target species,5,8,7,1,4,3,1,7,4,5,7,1,4,3,2,3,0,2,0,8,4,2,0,2,1,3,2,9
Ecological Bridge > Fine-scale management appropriate for target species,2,2,4,2,4,2,0,3,4,3,6,1,4,2,0,5,2,0,0,5,2,1,2,2,3,1,1,6
Data Barrier > Model abuse,0,1,1,1,0,0,0,2,1,0,2,0,2,2,0,1,0,0,0,1,0,1,0,1,0,0,1,2
Data Barrier > Gaps and inaccuracy,9,16,14,10,8,6,1,7,10,8,12,0,10,6,2,11,8,5,1,0,8,6,6,10,6,4,1,13
Data Barrier > Management scales do not align with system needs,5,7,6,1,1,2,1,2,3,5,6,0,2,2,1,3,4,2,0,8,0,2,3,2,4,3,1,5
Ecological Barrier > Need for multispecies management,2,4,2,1,3,1,1,4,4,3,6,1,3,4,2,2,2,1,1,6,2,0,0,3,2,1,1,8
Ecological Barrier > Climate change adding uncertainty to target species habitat use,2,3,5,1,1,3,0,2,4,3,5,0,1,3,1,3,0,2,0,6,3,0,0,1,2,1,0,2
Social Barrier > Implementation costs,5,9,7,5,2,4,2,8,5,3,10,0,2,5,2,6,2,2,1,10,2,3,1,0,4,1,0,11
Social Barrier > Indirect socioeconomic consequences,4,3,5,2,2,1,0,2,2,5,5,0,2,2,1,2,1,3,0,6,4,2,2,4,0,1,0,6
Social Barrier > Lack of political administration permanence,5,4,3,1,1,1,0,3,1,3,3,0,0,2,0,2,3,1,0,4,3,1,1,1,1,0,1,3
Social Barrier > Poor communication and outreach,1,2,3,1,2,0,0,4,1,1,4,0,2,1,0,1,2,1,1,1,1,1,0,0,0,1,0,3
Social Barrier > Poor program implementation,7,15,9,7,8,4,3,18,12,10,19,3,12,8,3,10,9,6,2,13,5,8,2,11,6,3,3,0
