Data Barriers,Species Barriers,Social Barriers,Documents
Gaps and Accuracy,Switch to multi-species mngmnt,Recipient participation,3
Gaps and Accuracy,Climate change,Recipient participation,2
Cost,Switch to multi-species mngmnt,Recipient participation,2
Gaps and Accuracy,Climate change,Political permanence,1
Gaps and Accuracy,Model Abuse,Communication & Distribution,1
Mismatch in scale,Climate change,Political permanence,1
Gaps and Accuracy,Model Abuse,Recipient participation,1
Cost,Climate change,Recipient participation,1
Gaps and Accuracy,Switch to multi-species mngmnt,Unintended consequences,1
Mismatch in scale,Switch to multi-species mngmnt,Unintended consequences,1
Gaps and Accuracy,Switch to multi-species mngmnt,Communication & Distribution,1
Cost,Model Abuse,Recipient participation,1
Mismatch in scale,Switch to multi-species mngmnt,Recipient participation,1
