Code System,Difficulty assessing impact,Limited relevance,Missing cross-program comparisons,Gaps and inaccuracy,Lack of near real-time data,Unpredictable bycatch patterns,Cost,Discontinuity,Confidentiality,Lack of incentives,Volunteer programs reduce participation,Regulated programs reduce participation,External factors reducing participation,Poor communication and outreach,Interest-holder conflicts,Stigmatization
Implementation bridges > Program outreach,1,0,1,2,3,2,0,0,0,1,1,1,2,4,3,2
Implementation bridges > Clear objectives,0,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0
Implementation bridges > Communication mechanisms,2,0,0,2,2,1,0,0,0,0,1,1,1,2,3,2
Implementation bridges > Behavior change,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
Implementation bridges > Regulated program,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Implementation bridges > Volunteer based program,0,0,0,1,2,2,0,0,0,1,0,1,1,2,2,0
Implementation bridges > Simplicity,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
Implementation bridges > Online presence,2,0,0,0,2,1,0,0,0,1,1,0,0,2,2,1
Implementation bridges > Tailored to user group,0,0,0,2,1,1,0,0,0,0,1,1,1,1,2,2
Social bridges > Fleet buy-in,0,1,1,0,1,0,0,1,0,1,2,0,0,1,2,0
Social bridges > External factors increasing participation,0,0,0,1,1,1,0,1,0,1,0,1,2,1,2,0
Social bridges > Communication and transparency,2,0,2,1,3,2,1,0,0,2,3,1,2,3,5,1
Social bridges > Adoption incentives,1,1,0,1,2,2,0,1,1,3,0,1,1,2,2,0
Social bridges > Observable progress,1,1,2,0,3,1,1,0,0,2,2,0,1,3,4,1
Social bridges > Co-management,2,0,1,2,2,2,0,0,0,1,2,1,2,2,5,1
Data bridges > Rapid data delivery,0,0,0,1,2,1,0,0,1,1,1,1,1,2,1,1
Ecological bridges > Distinct habitat preferences,0,0,0,1,2,1,0,0,1,1,0,1,1,2,1,0
Ecological bridges > Predictable spatial use,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
