bridge_barr,code_cat,code_name,total
Bridge,Regulation bridge,Behavior change,3
Bridge,Regulation bridge,Regulated program,1
Bridge,Regulation bridge,Volunteer based program,3
Bridge,Regulation bridge,Simplicity,6
Bridge,Regulation bridge,Supplement traditional management,1
Bridge,Regulation bridge,Online presence,6
Bridge,Regulation bridge,Tailored to user group,4
Bridge,Regulation bridge,Goal to reduce negative species interactions,1
Bridge,Social bridge,Established communication channels,10
Bridge,Social bridge,Minimized externalities,3
Bridge,Social bridge,Confidentiality,1
Bridge,Social bridge,Fleet buy-in,7
Bridge,Social bridge,Pre-existing program,1
Bridge,Social bridge,Effective communication,13
Bridge,Social bridge,Adoption incentives,9
Bridge,Social bridge,Observable progress,13
Bridge,Social bridge,Program outreach and transparency,8
Bridge,Social bridge,Stakeholder collaboration,10
Bridge,Data bridge,Data transparency,4
Bridge,Data bridge,Rapid data delivery,9
Bridge,Ecological bridge,Known nautral history,1
Bridge,Ecological bridge,Species spatial separation,3
Bridge,Ecological bridge,Predictable spatial use,2
Bridge,Ecological bridge,Migratory species,1
Barrier,Regulation barrier,Difficult to measure progress,2
Barrier,Regulation barrier,Hard to implement across diverse stakeholders,1
Barrier,Regulation barrier,Limited relevance,1
Barrier,Data barrier,Missing cross-program comparisons,2
Barrier,Data barrier,Insufficient data,3
Barrier,Data barrier,Lack of near real-time information,6
Barrier,Ecological barrier,Bycatch predictability,2
Barrier,Social barrier,Cost,1
Barrier,Social barrier,Lack of political administration permanence,1
Barrier,Social barrier,Confidentiality concerns,1
Barrier,Social barrier,Lack of incentives,4
Barrier,Social barrier,Volunteer programs reduce participation,3
Barrier,Social barrier,Regulated programs reduce participation,1
Barrier,Social barrier,External pressures reducing participation,3
Barrier,Social barrier,Poor communication and outreach,6
Barrier,Social barrier,Misalignment among stakeholders,8
Barrier,Social barrier,Negative perception of stakeholder group,2
